BirthYear,CP,Asian,Black,Hisp,Other,Pacific,White,19-25,26-30,31-35,<=18,>=35,Female,Male,PTB,SGA,Pre_elampsia,Gestdiabetes,Single_child,Siblings
2007,0,66084,30365,290904,2739,2968,148627,174881,146742,122338,32846,72506,267956,281395,70747,72328,255304,261981,355787,193572
2007,1,55,28,347,<10,<10,166,203,146,128,40,89,265,341,206,155,267,274,468,138
2008,0,64634,30445,281342,2833,2894,144164,167057,144061,119435,31861,72172,260473,274164,64955,69136,235287,241702,323319,211324
2008,1,55,37,312,<10,<10,169,175,140,129,47,97,268,320,205,166,272,266,432,156
2009,0,62628,29493,264426,2796,2811,139369,155825,139267,116130,28972,70237,248821,261668,59002,64953,217642,224838,277705,232789
2009,1,46,62,295,<10,<10,125,164,142,123,38,86,238,315,174,133,239,248,402,151
2010,0,60730,28801,252258,2754,2621,139061,147596,136567,115926,25559,68755,241291,253175,54125,61930,205370,212031,242989,251482
2010,1,40,50,312,<10,<10,155,151,156,111,41,109,259,309,188,151,269,274,398,170
2011,0,61834,28253,244546,2601,2575,138136,140505,135593,118626,22461,69185,236966,249444,50724,58815,191807,199986,228454,257961
2011,1,37,52,293,<10,<10,105,149,128,119,26,84,234,272,146,112,227,220,355,151
2012,0,68192,27787,239951,2623,2439,136677,136853,136885,123306,20247,71255,238677,249933,49574,58231,176712,187181,235484,253132
2012,1,39,41,290,<10,<10,107,155,121,111,25,88,241,259,173,121,203,210,346,154
2013,0,67695,27256,233262,2439,2408,137287,130575,132959,126080,17230,72109,233446,245559,41277,54232,168282,178431,248255,230758
2013,1,32,31,274,<10,<10,106,118,121,108,24,83,198,256,145,101,157,157,334,120
2014,0,74479,26677,232397,2425,2433,138204,127508,135674,133964,14821,75291,237514,249817,38969,53824,153135,163976,287225,200110
2014,1,47,41,200,<10,<10,101,116,110,104,12,56,169,229,131,82,128,136,302,96
2015,0,70634,25433,229116,2331,2341,135852,120580,132916,133703,13032,76488,232082,244707,39014,52819,138760,148712,289413,187382
2015,1,38,28,205,<10,<10,106,84,111,104,11,80,165,225,135,70,107,125,297,93
