BirthYear,CP,Asian,Black,Hisp,Other,Pacific,White,19-25,26-30,31-35,<=18,>=35,Female,Male,PTB,SGA,Preeclampsia,Gestdiabetes
2007,0,24307,8191,104226,892,1102,52313,73806,58878,37267,13027,10588,94432,99134,22222,25668,90135,91553
2007,1,11,<10,81,<10,<10,41,49,45,26,<10,<10,62,76,41,38,58,56
2008,0,25951,9472,111876,1093,1269,58450,78050,65573,41790,12710,13193,102736,108584,24412,27665,92720,94467
2008,1,19,<10,70,<10,<10,61,53,43,29,11,20,72,84,48,51,72,72
2009,0,29718,10280,117571,1233,1409,68615,77836,72365,51696,11198,19688,113611,119175,25368,29175,98242,101061
2009,1,16,13,73,<10,<10,42,37,51,44,<10,10,65,86,41,34,62,64
2010,0,32440,11136,122786,1336,1447,78287,76845,78042,61461,9420,25706,122409,129071,25998,29677,102478,105697
2010,1,20,<10,92,<10,<10,48,50,54,34,<10,25,79,91,64,44,85,82
2011,0,34081,11309,124096,1263,1434,81565,72443,80222,68269,7328,29694,125094,132866,25203,28900,99876,104549
2011,1,13,11,75,<10,<10,45,43,40,43,<10,20,75,76,45,27,71,66
2012,0,35723,10858,119597,1243,1361,78896,65147,78382,71084,5517,33000,123654,129472,23864,27192,89848,96159
2012,1,15,<10,85,<10,<10,42,37,44,43,<10,27,66,88,53,26,54,65
2013,0,30095,10347,112624,1119,1320,71304,55833,69110,68268,3777,33766,112533,118222,18709,22781,80273,86703
2013,1,<10,<10,70,<10,<10,33,27,39,27,<10,25,49,71,32,24,43,40
2014,0,26060,8779,100710,954,1180,58569,43257,58551,62796,1792,33710,97961,102148,15338,18090,62277,69103
2014,1,<10,<10,49,<10,<10,31,21,35,28,<10,11,40,56,36,19,34,37
2015,0,24316,7862,95129,857,1033,54408,34897,54683,62114,756,34929,91561,95819,14421,16560,53999,60638
2015,1,10,<10,51,<10,<10,25,16,30,32,<10,15,38,55,29,18,24,26
