BirthYear,CP,Asian,Black,Hisp,Other,Pacific,White,19-25,26-30,31-35,<=18,>=35,Female,Male
2005,0,2646,1016,10582,75,110,4166,6231,5004,4155,1091,2330,9145,9667
2005,1,12,<10,70,<10,<10,24,35,27,22,13,16,37,76
2006,0,2827,1162,11016,83,93,4175,6475,5218,4335,1198,2385,9527,10085
2006,1,<10,<10,70,<10,<10,25,47,21,18,<10,15,56,51
2007,0,2824,1066,10997,67,111,4239,6243,5237,4423,1175,2503,9554,10027
2007,1,<10,<10,74,<10,<10,17,30,31,22,<10,14,48,57
2008,0,2914,1071,10695,90,98,4224,6059,5208,4299,1248,2510,9325,10000
2008,1,13,<10,48,<10,<10,22,27,20,21,<10,20,35,57
2009,0,2748,1012,10223,71,110,3994,5640,5087,4187,1092,2473,9001,9478
2009,1,<10,<10,51,<10,<10,19,19,29,14,<10,14,40,45
2010,0,2638,1028,9589,80,84,3989,5324,4856,4067,1039,2379,8643,9022
2010,1,11,<10,55,<10,<10,22,20,28,16,<10,28,46,49
2011,0,2671,1012,9214,67,95,4039,4929,4877,4180,844,2481,8587,8724
2011,1,<10,11,68,<10,<10,15,28,28,28,<10,17,42,64
2012,0,2845,1015,8994,67,97,3995,4992,4783,4356,755,2465,8390,8961
2012,1,10,<10,51,<10,<10,18,23,20,24,<10,18,46,44
2013,0,2837,980,8817,55,71,4028,4803,4671,4371,676,2636,8257,8900
2013,1,10,<10,45,<10,<10,12,20,24,18,<10,<10,32,42
2014,0,2902,1037,8719,56,88,3955,4656,4709,4626,559,2659,8383,8826
2014,1,11,<10,33,<10,<10,15,19,21,16,<10,14,26,44
2015,0,3019,923,8739,64,81,3921,4428,4708,4858,478,2731,8374,8829
2015,1,12,<10,37,<10,<10,13,<10,22,19,<10,16,37,31
